Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.7706237424547284,0.7819245997920901,0.7706237424547284,0.7529893003187409
Linear SVM,0.7424547283702213,0.7419075174177225,0.7424547283702213,0.7352841086902329
Logistic Regression,0.6680080482897385,0.6759042480746563,0.6680080482897385,0.6519232567406227
Naive Bayes,0.5674044265593562,0.6303434856273672,0.5674044265593562,0.5325432130876318
