Model,Accuracy,Precision,Recall,F1 Score
Baseline Random Forest,0.7706237424547284,0.7819245997920901,0.7706237424547284,0.7529893003187409
Tuned Random Forest,0.7746478873239436,0.7903557854055404,0.7746478873239436,0.7563037144269039
